,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Cormorants,4.34985495,1.00000000,0.0009000000,0.0009000000,0.12500000,37.0999985,0.53333330,0.00336927,,
2,mammals,4.18047094,1.00000000,0.0099999998,0.0099999998,0.10200000,35.2999992,0.49019611,0.00288952,,
3,"large cod",3.36820412,1.00000000,1.80999994,1.80999994,0.41999999,3.00000000,0.65790808,0.14000000,,
4,"small cod",3.40619898,1.00000000,0.14000000,0.14000000,1.70000005,6.00000000,0.34403741,0.28333330,,
5,"large other fish",3.11115098,1.00000000,0.77999997,0.77999997,0.50000000,3.00000000,0.55355239,0.16666670,,
6,"small other fish",3.16428709,1.00000000,0.52499998,0.52499998,1.70000005,6.69999981,0.92986047,0.25373140,,
7,herring,3.07422090,1.00000000,0.22000000,0.22000000,1.00000000,6.00000000,0.55897433,0.16666670,,
8,euphausiids,2.10633707,1.00000000,4.21700001,4.21700001,2.50000000,16.7000008,0.91070050,0.14970060,,
9,"small zooplankton",2.05263209,1.00000000,20.0000000,20.0000000,6.50000000,26.0000000,0.35614690,0.25000000,,
10,schypomedusae,3.09592390,1.00000000,0.72000003,0.72000003,6.50000000,17.3299999,0.13330770,0.37507209,,
11,chaetognaths,3.05263209,1.00000000,0.20000000,0.20000000,3.79999995,19.0000000,0.49253681,0.20000000,,
12,shrimps,2.58886504,1.00000000,0.17800000,0.17800000,2.00000000,13.3000002,0.91679341,0.15037590,,
13,"other large zooplantkon",2.00000000,1.00000000,0.69000000,0.69000000,2.00000000,13.3000002,0.90281439,0.15037590,,
14,"large decapoda",2.93851209,1.00000000,0.43200001,0.43200001,0.50000000,3.32999992,0.92298871,0.15015019,,
15,"predatory benthos",2.89366293,1.00000000,1.65799999,1.65799999,0.50000000,3.32999992,0.91072762,0.15015019,,
16,"detrivore polychaetes",2.00000000,1.00000000,43.0000000,43.0000000,0.74000001,4.92999983,0.24759980,0.15010139,,
17,"small benthic crustaceans",2.12371111,1.00000000,4.00000000,4.00000000,0.50000000,3.32999992,0.64014429,0.15015019,,
18,"small molluscs",2.07526898,1.00000000,26.0000000,26.0000000,0.34999999,2.32999992,0.91874492,0.15021460,,
19,"large bivalves",2.00000000,1.00000000,62.9000015,62.9000015,0.19000000,2.10999990,0.35049799,0.09004740,,
20,"detrivore echinoderms",2.00000000,1.00000000,41.0000000,41.0000000,0.20000000,2.22000003,0.79243231,0.09009009,,
21,"other benthic invert",2.00000000,1.00000000,2.00000000,2.00000000,0.50000000,3.32999992,0.46672580,0.15015019,,
22,"Large King crab",3.02889490,1.00000000,2.79999995,2.79999995,0.20000000,3.00000000,0.52153587,0.06666667,,
23,"small king crab",3.04373002,1.00000000,1.20000005,1.20000005,1.00000000,5.00000000,0.46963409,0.20000000,,
24,phytoplankton,1.00000000,1.00000000,20.0000000,20.0000000,60.0000000,,0.45742491,,,
25,Detritus,1.00000000,1.00000000,50.0000000,50.0000000,,,0.52464902,,,
