,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large phytopk",1.00000000,1.00000000,8.52017879,8.52017879,50.0000000,,0.40000001,,,
2,"Small phytopk",1.00000000,1.00000000,5.11290312,5.11290312,45.0000000,,0.40000001,,,
3,"Gelat zoopk",2.21021199,1.00000000,4.77271509,4.77271509,9.19999981,10.00000000,0.80000001,0.92000002,,
4,"Large zoopk",2.33874798,1.00000000,5.67461777,5.67461777,5.00000000,32.0000000,0.80000019,0.15625000,,
5,Mesopk,2.48159409,1.00000000,1.48462403,1.48462403,18.3150005,40.0000000,0.80000001,0.45787501,,
6,"Small zoopk",2.33733797,1.00000000,1.99352300,1.99352300,20.0000000,42.6199989,0.80000007,0.46926329,,
7,"Benth carnivores",2.36072206,0.10000000,5.24486303,0.52448618,10.00000000,25.5440006,0.80000007,0.39148140,,
8,"Benth Deposit Feeders",2.00000000,1.00000000,0.92399317,0.92399317,4.50000000,22.0000000,0.80000007,0.20454550,,
9,"Deep Benthic FFeeders",2.00067496,0.27000001,0.92651492,0.25015900,3.20000005,11.8000002,0.94999993,0.27118641,,
10,"Shallow FFeeders",2.36726403,0.73000002,1.27107799,0.92788708,3.59999990,11.8000002,0.80000001,0.30508471,,
11,Urchins,2.26839399,0.017000001,7.93413496,0.13488030,2.50000000,11.8000002,0.97000003,0.21186440,,
12,"Reef Mesograzers",2.14101696,0.017000001,3.82670999,0.06505408,3.59999990,11.6800003,0.94999999,0.30821919,,
13,Abalone,2.00000000,0.011000000,32.0000000,0.35200000,1.79999995,11.6800003,0.93007427,0.15410960,,
14,"Macro zoobenthos Herb",2.00000000,0.73000002,1.85000002,1.35049999,2.20000005,11.6800003,0.73610711,0.18835621,,
15,"Macro zoobenthos",2.31043696,0.017000001,2.00000000,0.034000002,2.70000005,12.0000000,0.88077718,0.22499999,,
16,"Macro zoobenthos Fl",2.60112500,0.017000001,4.32499886,0.073524997,2.00000000,7.40000010,0.80537242,0.27027029,,
17,Meiobenthos,2.87657809,1.00000000,0.56915492,0.56915492,2.50000000,11.1000004,0.94999999,0.22522520,,
18,Macroalgae,1.00000000,0.020000000,124.49369812,2.48987389,20.0000000,,0.30000001,,,
19,Seagrass,1.00000000,0.0099999998,33.19855118,0.33198550,20.0000000,,0.30000001,,,
20,"Coastal squid FI",3.71268106,0.18000001,0.64807189,0.11665290,1.50000000,8.00000000,0.94999993,0.18750000,,
21,"Transitory squid Fl",3.72970295,1.00000000,0.26781809,0.26781809,1.52999997,8.00000000,0.94999999,0.19125000,,
22,Octopus,3.36959291,1.00000000,0.029999999,0.029999999,1.36899996,8.00000000,0.82830918,0.17112499,,
23,"Coast Soft micro Carn Telo",3.25329804,1.00000000,0.0010000000,0.0010000000,1.20000005,10.00000000,0.30662850,0.12000000,,
24,"Coast Dem Reef Herb Telo Fl",2.00000000,0.017000001,5.88000011,0.099960007,0.89999998,15.0000000,0.83703047,0.06000000,,
25,"Coast Sm Dem Reef Plk Telo",3.37240410,0.017000001,19.6499996,0.33405000,1.50000000,5.00000000,0.76471168,0.30000001,,
26,"Coast Dem Reef Carn Telo Fl",3.07231092,0.017000001,44.7999992,0.76160002,0.36000001,7.59999990,0.54841071,0.04736842,,
27,"Trans Dem Reef Carn Telo Fl",3.23350906,0.020000000,3.39000010,0.067800000,0.41800001,2.50000000,0.68409538,0.16720000,,
28,"Shelf Carn Telo Fl",3.39049506,0.98299998,1.34899998,1.32606697,0.31999999,2.73699999,0.62689281,0.11691630,,
29,"Coast Pisc Fl",3.93764400,1.00000000,0.024695430,0.024695430,0.33049461,2.50000000,0.94999999,0.13219790,,
30,"Coast Sch Omn Pel Telo Fl",3.01299500,0.18000001,0.20000000,0.035999998,0.28000000,2.50000000,0.73364860,0.11200000,,
31,"Coast Sch Carn Pel Telo Fl",3.32754302,0.27000001,0.25925931,0.070000000,0.41800001,2.50000000,0.47395900,0.16720000,,
32,"Oceanic planktivores",3.34854198,1.00000000,2.93366790,2.93366790,0.30000001,2.40000010,0.96499997,0.12500000,,
33,"Oceanic piscivores",3.40244699,1.00000000,3.52557611,3.52557611,0.41800001,2.50000000,0.62800002,0.16720000,,
34,"Sm Pel Plk Telo",3.42928100,1.00000000,0.12631311,0.12631311,1.50000000,5.00000000,0.63735700,0.30000001,,
35,"Sm Pel Carn Telo Fl",3.37128592,1.00000000,0.21200000,0.21200000,1.00000000,4.50000000,0.91045892,0.22222219,,
36,"Offsh Carn Telo Fl",4.04924679,0.27000001,0.89999998,0.24300000,0.41800001,2.50000000,0.31738499,0.16720000,,
37,"Mig Mesopelagics",3.27707505,1.00000000,0.96200001,0.96200001,0.39500001,2.40000010,0.51331568,0.16458330,,
38,"Shelf Assoc Dem Sharks",3.83385897,1.00000000,0.10609950,0.10609950,0.27000001,5.50000000,0.11878380,0.04909091,,
39,"Offshore Dem Sharks",4.08795881,0.27000001,0.33000001,0.089100011,0.27000001,5.50000000,0.00037877,0.04909091,,
40,"Pelagic sharks",4.52308607,1.00000000,0.0003738814,0.0003738814,0.25999999,1.43299997,0.89069557,0.18143751,,
41,"Skates & rays",3.28197598,1.00000000,0.38365531,0.38365531,0.34999999,3.50000000,0.47511140,0.10000000,,
42,Dolphins,4.66968822,1.00000000,0.0018754720,0.0018754720,1.00000000,15.0000000,0.00000000,0.06666667,,
43,"Fur seal",3.96674705,1.00000000,0.045000002,0.045000002,1.15799999,15.0000000,0.00008743,0.07720000,,
44,"Little Peng & Shearw",3.84068894,1.00000000,0.088000000,0.088000000,1.00000000,15.0000000,0.01666576,0.06666667,,
