,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,7.86600018,7.86600018,117.300003,,0.74405432,,,
2,Zooplankton,2.25000000,1.00000000,6.09999990,6.09999990,62.4700012,186.380005,0.76425898,0.33517551,,
3,"Benthic small crustaceans",2.21117806,1.00000000,1.11000001,1.11000001,7.68599987,57.1199989,0.99286300,0.13455880,,
4,Polychaetes,2.09987402,1.00000000,4.80800009,4.80800009,1.71200001,13.0830002,0.98790812,0.13085680,,
5,Shrimps,3.08843994,1.00000000,0.30599999,0.30599999,3.33899999,7.89599991,0.99938601,0.42287230,,
6,Crabs,2.96644402,1.00000000,0.41200000,0.41200000,2.54099989,5.18699980,0.99699879,0.48987851,,
7,"Benthic invertebrates",2.05317092,1.00000000,8.71000004,8.71000004,1.21500003,3.43400002,0.99530941,0.35381481,,
8,"Octopuses and cuttlefish",3.32633305,1.00000000,0.39199999,0.39199999,2.90000010,5.80700016,0.99953210,0.49939731,,
9,Squids,3.83804107,1.00000000,0.36300001,0.36300001,2.59999990,26.4699993,0.99746442,0.09822440,,
10,"Red mullets",2.80916905,1.00000000,0.19599999,0.19599999,1.90799999,7.19199991,0.99426103,0.26529479,,
11,Anglerfish,4.18245602,1.00000000,0.20299999,0.20299999,1.10000002,3.77699995,0.21105340,0.29123640,,
12,Flatfishes,4.00157785,1.00000000,0.10700000,0.10700000,1.82000005,8.74100018,0.99504149,0.20821419,,
13,"Other gadiforms",3.55248404,1.00000000,0.57999998,0.57999998,1.45000005,6.49300003,0.99961638,0.22331740,,
14,Hake,4.14366722,1.00000000,0.40000001,0.40000001,0.58700001,3.70000005,0.99803579,0.15864870,,
15,"Demersal fishes 1",3.14443588,1.00000000,0.15000001,0.15000001,2.40000010,9.30599976,0.99519932,0.25789821,,
16,"Demersal fishes 2",3.65737200,1.00000000,0.24600001,0.24600001,1.60000002,7.73899984,0.99575227,0.20674510,,
17,"Demersal fishes 3",3.72422791,1.00000000,0.32200000,0.32200000,1.39999998,4.59200001,0.99112040,0.30487809,,
18,"Demersal fishes 4",3.30147290,1.00000000,0.23700000,0.23700000,1.89999998,11.1049995,0.99545842,0.17109410,,
19,"Picarels and bogue",3.24549508,1.00000000,0.66299999,0.66299999,1.50000000,8.33899975,0.99167299,0.17987770,,
20,Sharks,3.93024611,1.00000000,0.071000002,0.071000002,0.69800001,4.07999992,0.98800212,0.17107840,,
21,"Rays and skates",4.02151012,1.00000000,0.14100000,0.14100000,1.00000000,3.39400005,0.71747547,0.29463759,,
22,Anchovy,3.25000000,1.00000000,2.25000000,2.25000000,1.75300002,6.69299984,0.99542010,0.26191539,,
23,Sardine,3.08547401,1.00000000,1.95000005,1.95000005,1.77800000,11.6680002,0.99748057,0.15238260,,
24,"Horse mackerels",3.36144400,1.00000000,0.73199999,0.73199999,1.00000000,7.31500006,0.99396122,0.13670540,,
25,Mackerels,3.48852110,1.00000000,0.29400000,0.29400000,1.02199996,6.44799995,0.99403661,0.15849870,,
26,"Other small pelagics",3.21986699,1.00000000,1.16999996,1.16999996,1.39999998,6.36499977,0.99669802,0.21995290,,
27,"Medium pelagics",4.19104624,1.00000000,0.25000000,0.25000000,0.42500001,3.70600009,0.25688541,0.11467890,,
28,"Large pelagics",4.23942280,1.00000000,0.048999999,0.048999999,0.40000001,2.52900004,0.86448812,0.15816531,,
29,"Loggerhead turtle",3.08836603,1.00000000,0.020000000,0.020000000,0.16000000,2.68000007,0.78125000,0.05970149,,
30,Seabirds,2.28306794,1.00000000,0.0010000000,0.0010000000,4.78000021,111.610001,0.00000000,0.04282771,,
31,Dolphins,4.45740604,1.00000000,0.020000000,0.020000000,0.079999998,13.8100004,0.21250001,0.00579290,,
32,Discards,1.00000000,1.00000000,0.35514000,0.35514000,,,0.98730880,,,
33,Detritus,1.00000000,1.00000000,31.4400005,31.4400005,,,0.41175601,,,
