,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Billfishes,4.31156301,1.00000000,0.0049999999,0.0049999999,0.44000000,5.28999996,0.96171778,0.08317580,-0.0026000000,-0.51999998
2,"Sharks  (and alligators)",4.27125311,1.00000000,0.10430000,0.10430000,0.43000001,4.17999983,0.62834418,0.10287080,-0.037000000,-0.35474589
3,Tuna,4.23787880,1.00000000,0.023700001,0.023700001,0.85000002,12.0000000,0.80071223,0.07083333,,
4,"Toothed cetaceans",4.13755608,1.00000000,0.058400001,0.058400001,0.10000000,27.0000000,0.00000000,0.00370370,,
5,Mackerel,4.01954699,1.00000000,0.20700000,0.20700000,0.38000000,8.00000000,0.94091958,0.04750000,,
6,Groupers,4.00279617,1.00000000,0.12464580,0.12464580,0.69999999,5.00000000,0.94999993,0.14000000,,
7,Jacks,3.92435408,1.00000000,0.068000004,0.068000004,0.56000000,9.19999981,0.85410309,0.06086957,,
8,Snappers,3.90831900,1.00000000,0.12504050,0.12504050,0.56999999,5.40000010,0.94999999,0.10555550,,
9,"Pelagic piscivores",3.87886691,1.00000000,0.23199999,0.23199999,0.86000001,13.5000000,0.83724809,0.06370371,,
10,Octopods,3.86907411,1.00000000,0.07242844,0.07242844,3.09999990,7.30000019,0.98000002,0.42465749,,
11,"Demersal piscivores",3.83119106,1.00000000,0.20289379,0.20289379,0.83999997,8.10000038,0.94999999,0.10370370,,
12,"Marine birds",3.81766200,1.00000000,0.0010000000,0.0010000000,0.10000000,80.0000000,0.80000007,0.00125000,,
13,"Benthic piscivores",3.77922893,1.00000000,0.14039680,0.14039680,0.38999999,8.72999954,0.95000011,0.04467354,,
14,"Drum and croaker",3.44689393,1.00000000,0.72180003,0.72180003,0.47000000,7.34000015,0.91465288,0.06403270,,
15,"Benthic invertebrate-eaters",3.41289496,1.00000000,0.60200262,0.60200262,1.73000002,13.5699997,0.94999993,0.12748709,,
16,Squid,3.37838888,1.00000000,1.89999998,1.89999998,2.43000007,33.0000000,0.96572518,0.07363637,,
17,Flounder,3.34861302,1.00000000,0.34591001,0.34591001,0.30000001,9.46000004,0.94999993,0.03171248,,
18,"Benthic rays/skates",3.28752589,1.00000000,0.46470001,0.46470001,0.40000001,8.96000004,0.76853472,0.04464286,,
19,Lobsters,3.23295212,1.00000000,0.36394981,0.36394981,0.89999998,8.19999981,0.94999993,0.10975610,,
20,"Baleen whales",3.21753311,1.00000000,0.14440000,0.14440000,0.050000001,10.8999996,0.00000000,0.00458716,,
21,"Demersal planktivores",3.10512590,1.00000000,0.11396100,0.11396100,2.59999990,10.00000000,0.98000002,0.25999999,,
22,"Sea turtles",3.08357501,1.00000000,0.0070000002,0.0070000002,0.19200000,3.50000000,0.47115260,0.05485714,,
23,"Demersal invertebrate-eaters",3.07116795,1.00000000,2.41635799,2.41635799,0.76999998,8.71000004,0.94999999,0.08840413,,
24,Stomatopods,3.02019310,1.00000000,2.84481907,2.84481907,1.33500004,7.43200016,0.98000002,0.17962860,,
25,"Pelagic planktivores",3.01298809,1.00000000,9.41613770,9.41613770,0.88999999,8.53999996,0.98000002,0.10421550,,
26,"Other fishes",2.95711207,1.00000000,22.23966026,22.23966026,0.69999999,7.03999996,0.97999990,0.09943182,,
27,"Forage fishes",2.88095903,1.00000000,25.06465912,25.06465912,0.93000001,13.8800001,0.99000013,0.06700289,,
28,Jellies,2.79999995,1.00000000,0.27018440,0.27018440,40.0000000,80.0000000,0.94999999,0.50000000,,
29,Crabs,2.72918391,1.00000000,9.26055813,9.26055813,1.38160002,8.50000000,0.98000008,0.16254120,,
30,Shrimp,2.67781305,1.00000000,7.63923407,7.63923407,3.16000009,19.2000008,0.98000008,0.16458330,,
31,"Demersal omnivores",2.58734798,1.00000000,0.88977063,0.88977063,1.47000003,21.8700008,0.94999993,0.06721536,,
32,"Echinoderms and gastropods",2.26108599,1.00000000,25.0000000,25.0000000,1.20000005,3.70000005,0.70896560,0.32432431,,
33,"Sessile epibenthos",2.16573906,1.00000000,78.60452271,78.60452271,0.80000001,9.00000000,0.85000002,0.08888889,,
34,"Benthic macrofauna (and meiofauna)",2.04081607,1.00000000,67.31408691,67.31408691,5.07999992,21.5200005,0.99000001,0.23605950,,
35,Bivalves,2.01040792,1.00000000,55.0000000,55.0000000,1.21899998,23.0000000,0.81298292,0.05300000,,
36,Manatees,2.00000000,1.00000000,0.0006000000,0.0006000000,0.10000000,36.5000000,0.00000000,0.00273973,,
37,Zooplankton,2.00000000,1.00000000,36.5000000,36.5000000,13.0000000,43.2999992,0.90962368,0.30023101,,
38,Macroalgae,1.00000000,1.00000000,52.09632111,52.09632111,4.00000000,,0.80000001,,,
39,Microphytobenthos,1.00000000,1.00000000,37.0000000,37.0000000,55.5735016,,0.32832190,,,
40,Phytoplankton,1.00000000,1.00000000,5.64483595,5.64483595,332.666687,,0.99000013,,,
41,"Sea grasses",1.00000000,1.00000000,26.50690079,26.50690079,7.30000019,,0.50000000,,,
42,Detritus,1.00000000,1.00000000,518.000000,518.000000,,,0.55862051,,,
