,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Transient killer whales",5.51488876,1.00000000,0.0011000000,0.0011000000,,0.015000000,4.14371586,0.00000000,0.00361994,,
2,"Resident killer whales",4.82441902,1.00000000,0.0038000001,0.0038000001,,0.017200001,10.5649796,0.00000000,0.00162802,,
3,"Offshore killer whales",4.86089182,1.00000000,0.0002000000,0.0002000000,,0.017200001,23.7712097,0.00000000,0.00072356,,
4,"Other toothed whales",4.99616909,1.00000000,0.018338479,0.018338479,,0.057999998,6.17000008,0.00000000,0.00940032,,
5,"Humpback whale",3.94432712,1.00000000,0.14010000,0.14010000,,0.066000000,5.11000013,0.12332770,0.01291585,,
6,"Other baleen whales",3.69317102,1.00000000,0.31308889,0.31308889,,0.048999999,5.54814816,0.00128139,0.00883178,,
7,"Dolphins & porpoises",4.70222712,1.00000000,0.014473000,0.014473000,,0.050000001,26.4906502,0.72021818,0.00188746,,
8,"Northern elephant seal",4.88262415,1.00000000,0.023090690,0.023090690,,0.037999999,7.09999990,0.06986836,0.00535211,,
9,"Northern fur seal adult",4.61853600,1.00000000,0.0019401250,0.0019401250,,0.090999998,51.3899994,0.59342492,0.00177077,,
10,"Northern fur seal juvenile",4.63041306,1.00000000,0.0003441130,0.0003441130,,0.11600000,61.1899986,0.23936410,0.00189574,,
11,"Steller sea lion",4.75211382,1.00000000,0.023508839,0.023508839,,0.10500000,25.6070004,0.99014479,0.00410044,,
12,"Harbor seal",4.68996286,1.00000000,0.0063999998,0.0063999998,,0.14000000,22.8899994,0.96827018,0.00611621,,
13,"Sea otter",3.82467699,1.00000000,0.0038000001,0.0038000001,,0.11000000,110.070000,0.25250691,0.00099936,,
14,"Piscivorous surface birds",4.51308393,1.00000000,0.0025599999,0.0025599999,,0.090000004,84.2699966,0.05783937,0.00106800,,
15,"Planktivorous surface birds",4.15537786,1.00000000,0.0003080000,0.0003080000,,0.12000000,136.000000,0.03662130,0.00088235,,
16,"Piscivorous diving birds",4.26124191,1.00000000,0.021199999,0.021199999,,0.082300000,73.0000000,0.06260075,0.00112740,,
17,"Planktivorous diving birds",3.58421111,1.00000000,0.0004110000,0.0004110000,,0.17000000,110.000000,0.02389160,0.00154545,,
18,"Salmon returning",3.61892700,1.00000000,0.85663378,0.85663378,,1.81586099,11.8268995,0.36967409,0.15353650,,
19,"Salmon outgoing",3.46728611,1.00000000,0.028566999,0.028566999,,1.64152300,14.3864698,0.08352471,0.11410190,,
20,"Pacific hake",4.29496098,1.00000000,0.01328424,0.01328424,,0.55000001,2.75000000,0.80000001,0.20000000,,
,"Pacific herring",,,,,,,,,,,
21,"Pacific herring adult",3.60873199,1.00000000,0.36000001,0.36000001,0.31999999,,3.52000093,0.70017779,0.09090906,,
22,"Pacific herring juvenile",3.58983207,1.00000000,0.37913519,0.37913519,2.00000000,,9.75010586,0.08950826,0.20512600,,
23,"Pacific sandlance",3.59500790,1.00000000,6.89605522,6.89605522,,0.80000001,3.65000010,0.80000007,0.21917810,,
24,"Pacific capelin",3.59500790,1.00000000,10.58481979,10.58481979,,0.80000001,3.65000010,0.80000007,0.21917810,,
25,"Shelf forage fish",3.61553407,1.00000000,15.53964043,15.53964043,,0.80000001,3.65000010,0.80000007,0.21917810,,
26,"Slope forage fish",3.59500790,1.00000000,4.36856508,4.36856508,,0.80000001,3.65000010,0.80000007,0.21917810,,
27,"Pacific dogfish",3.64857602,1.00000000,0.049896810,0.049896810,,0.10000000,3.00000000,0.64335811,0.03333334,,
28,"Salmon shark",4.86033916,1.00000000,0.033469811,0.033469811,,0.10000000,6.00000000,0.04661986,0.01666667,,
29,"Pacific sleeper shark",3.95237088,1.00000000,0.034594528,0.034594528,,0.10000000,3.00000000,0.96847939,0.03333334,,
30,"Big skate",4.68058586,1.00000000,0.073899999,0.073899999,,0.20000000,2.00000000,0.36590680,0.10000000,,
31,"Longnose skate",4.04543495,1.00000000,0.051149160,0.051149160,,0.20000000,2.00000000,0.48274910,0.10000000,,
32,"Other skates",4.39096594,1.00000000,0.049441840,0.049441840,,0.20000000,2.00000000,0.94125658,0.10000000,,
,"Pacific halibut",,,,,,,,,,,
33,"Pacific halibut adult",4.21748781,1.00000000,1.76423001,1.76425803,0.19000000,,1.09999204,0.44838279,0.17272860,,
34,"Pacific halibut juvenile",3.86170411,1.00000000,0.0036213440,0.0036213440,0.69999999,,8.03003693,0.84625793,0.08717270,,
,"Arrowtooth flounder",,,,,,,,,,,
35,"Arrowtooth flounder adult",4.45546722,1.00000000,6.50899982,6.50900316,0.25999999,,1.44000804,0.31628430,0.18055460,,
36,"Arrowtooth flounder juvenile",3.88429809,1.00000000,0.11599520,0.11599520,1.50000000,,6.80469608,0.86700308,0.22043601,,
,"Rex sole",,,,,,,,,,,
37,"Rex sole adult",3.45701289,1.00000000,0.31641150,0.31641161,0.20000000,,1.69000006,0.29778010,0.11834320,,
38,"Rex sole juvenile",3.58860397,1.00000000,0.030434670,0.030434670,1.10000002,,4.76631498,0.00799389,0.23078629,,
,"Flathead sole",,,,,,,,,,,
39,"Flathead sole adult",3.63045096,1.00000000,0.82940012,0.82941347,0.18000001,,1.68957102,0.71795678,0.10653590,,
40,"Flathead sole juvenile",3.62862396,1.00000000,0.058764789,0.058764789,1.32050002,,5.89352417,0.82991183,0.22405951,,
41,"Shallow-water flatfish",3.54896903,1.00000000,3.81457496,3.81457496,,0.20000000,2.00000000,0.80000001,0.10000000,,
42,"Deep-water flatfish",3.46016598,1.00000000,0.27144149,0.27144149,,0.20000000,2.00000000,0.89081722,0.10000000,,
,"Pacific ocean perch",,,,,,,,,,,
43,"Pacific ocean perch adult",3.60005999,1.00000000,0.82401001,0.82392168,0.090000004,,1.99084699,0.60576010,0.04520689,,
44,"Pacific ocean perch juvenile",3.52031994,1.00000000,0.021456029,0.021456029,1.10000002,,6.63659286,0.02492325,0.16574770,,
45,"Slope rockfish",3.79392505,1.00000000,1.39681494,1.39681494,,0.10000000,2.00000000,0.80000001,0.05000000,,
46,"Demersal shelf rockfish",4.63231707,1.00000000,0.01944722,0.01944722,,0.10000000,2.00000000,0.80000007,0.05000000,,
47,"Pelagic shelf rockfish",3.77364397,1.00000000,0.14700000,0.14700000,,0.10000000,2.00000000,0.65315908,0.05000000,,
48,Thornyheads,3.85668612,1.00000000,0.13246210,0.13246210,,0.13000000,0.44000000,0.71629143,0.29545450,,
,Sablefish,,,,,,,,,,,
49,"Sablefish adult",4.13329983,1.00000000,0.93899888,0.93899912,0.19000000,,1.02999997,0.97000772,0.18446600,,
50,"Sablefish juvenile",3.52072001,1.00000000,0.039321460,0.039321460,1.64999998,,3.29351091,0.01288355,0.50098509,,
,"Pacific cod",,,,,,,,,,,
51,"Pacific cod adult",4.04547310,1.00000000,1.63928294,1.63928401,0.41999999,,2.18999600,0.73844957,0.19178110,,
52,"Pacific cod juvenile",3.75153995,1.00000000,0.15080319,0.15080319,2.02628803,,8.48234940,0.62796319,0.23888290,,
,"Walleye pollock",,,,,,,,,,,
53,"Walleye pollock adult",3.73461604,1.00000000,10.1499996,10.1499996,0.42500001,,3.77999997,0.95249498,0.11243390,,
54,"Walleye pollock juvenile",3.60091090,1.00000000,2.03398299,2.03398299,1.96399999,,10.6661100,0.74804819,0.18413460,,
55,"Large sculpins",4.25970888,1.00000000,0.10424700,0.10424700,,0.40000001,2.00000000,0.53856403,0.20000000,,
56,Lingcod,4.71621418,1.00000000,0.0076809512,0.0076809512,,0.98000002,3.29999995,0.97571617,0.29696971,,
57,"Atka mackerel",3.52755690,1.00000000,0.11076300,0.11076300,,0.54400003,5.65000010,0.32023299,0.09628319,,
58,"Shelf demersal fish",3.84330702,1.00000000,3.81467700,3.81467700,,0.40000001,2.00000000,0.80000031,0.20000000,,
59,"Slope demersal fish",4.27747679,1.00000000,7.00154877,7.00154877,,0.15000001,2.00000000,0.79999977,0.07500000,,
60,"Miscellaneous deep-sea fish",4.19325399,1.00000000,16.99711990,16.99711990,,0.18503080,2.00000000,0.80000001,0.09251540,,
61,Squid,3.69771194,1.00000000,9.14135742,9.14135742,,3.20000005,10.6700001,0.80000001,0.29990631,,
62,Octopus,3.48355603,1.00000000,3.11799908,3.11799908,,0.80000001,3.65000010,0.80000007,0.21917810,,
63,"Tanner crab",3.32633400,1.00000000,1.58340001,1.58340001,,1.00000000,3.00000000,0.80000001,0.33333331,,
64,"King crab",3.39012098,1.00000000,0.0061522219,0.0061522219,,0.60000002,3.00000000,0.28395531,0.20000000,,
