,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Lingcod,4.51105595,1.00000000,0.60000002,0.60000002,0.18000001,3.29999995,0.33101851,0.05454546,,
2,"Juv Lingcod",4.23988008,1.00000000,0.15000001,0.15000001,0.47999999,3.79999995,0.63583332,0.12631580,,
3,Dogfish,3.89121389,1.00000000,1.13399994,1.13399994,0.039999999,1.79999995,0.59479719,0.02222222,,
4,"Adult Pacific Cod",4.00499678,1.00000000,0.91900003,0.91900003,0.60000002,2.40000010,0.24305619,0.25000000,,
5,"Juv. Pacific Cod",3.67871690,1.00000000,0.14900000,0.14900000,1.60000002,5.33333302,0.29025170,0.30000001,,
6,"Demersal Fish",3.67310095,1.00000000,8.50000000,8.50000000,0.51999998,2.50000000,0.98546779,0.20800000,,
7,"Adult Herring",3.60765290,1.00000000,6.09999990,6.09999990,0.67000002,4.00000000,0.79386240,0.16750000,,
8,"Juv. Herring",3.54071903,1.00000000,3.62199998,3.62199998,1.23000002,11.0600004,0.42973059,0.11121160,,
9,Eulachon,3.33601904,1.00000000,0.21080530,0.21080530,0.47000000,4.30000019,0.80000001,0.10930230,-0.0099999998,-0.04743714
10,Euphausiids,2.61289501,1.00000000,18.61047935,18.61047935,7.90000010,65.0000000,0.60000008,0.12153850,,
11,"Pink Shrimp",2.04008102,1.00000000,0.38807091,0.38807091,0.60000002,12.00000000,0.94999999,0.050000001,,
12,Copepods,2.39516091,1.00000000,10.62876034,10.62876034,27.0000000,60.0000000,0.94999993,0.44999999,,
13,"Herb. Zoolplankton",2.00000000,1.00000000,15.72961044,15.72961044,40.0000000,183.300003,0.94999999,0.21822150,,
14,Phytoplankton,1.00000000,1.00000000,35.78396988,35.78396988,123.000000,,0.80000001,,,
15,Detritus,1.00000000,1.00000000,,,,,0.12085700,,,
