,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large predators",4.40100288,1.00000000,0.23000000,0.23000000,0.52173913,9.50000000,0.50000000,0.05491991,,
2,Tuna,4.36999893,1.00000000,0.03000000,0.03000000,2.00000000,11.6400003,0.50000000,0.17182130,,
3,"Large zoobenthos feeders",3.43435097,1.00000000,0.15000001,0.15000001,0.40000001,6.50000000,0.50000000,0.06153846,,
4,"Intermediate predators",3.90303206,1.00000000,0.46222100,0.46222100,1.74000001,8.69999981,0.94999999,0.20000000,,
5,Lutjanids,3.97542691,1.00000000,0.050000001,0.050000001,0.21052630,8.69999981,0.94999993,0.02419843,,
6,Serranids,3.99014306,1.00000000,0.00604961,0.00604961,1.74000001,8.69999981,0.94999999,0.20000000,,
7,Carangids,4.09863997,1.00000000,0.14101200,0.14101200,2.06999993,8.69999981,0.94999999,0.23793100,,
8,"Flatfishes Soles",3.53071404,1.00000000,0.11603720,0.11603720,0.85000002,8.69999981,0.94999993,0.09770115,,
9,Sciaenids,3.52267504,1.00000000,0.31000000,0.31000000,1.12882900,8.69999981,0.94999999,0.12975040,,
10,"Small pelagics",3.12751007,1.00000000,0.35914630,0.35914630,2.36999989,7.90000010,0.94999999,0.30000001,,
11,"Engraulids Clupeids",3.11451411,1.00000000,0.37507841,0.37507841,2.70000005,7.90000010,0.94999993,0.34177211,,
12,Squids,3.10671091,1.00000000,0.36660871,0.36660871,2.04999995,7.90000010,0.94999993,0.25949359,,
13,"Demersal zoobenthos feeders",3.22631407,1.00000000,0.86115098,0.86115098,2.15000010,10.7500000,0.94999999,0.20000000,,
14,Leiognathids,3.17210603,1.00000000,1.99000001,1.99000001,0.46293399,10.7500000,0.94999993,0.04306363,,
15,Mullids,3.11578894,1.00000000,1.25999999,1.25999999,0.48750159,10.7500000,0.94999999,0.04534899,,
16,Nemipterids,3.27755690,1.00000000,0.56999999,0.56999999,1.04993403,10.7500000,0.94999993,0.09766831,,
17,Balistids,3.20811701,1.00000000,0.18183289,0.18183289,2.15000010,10.7500000,0.94999999,0.20000000,,
18,Lactarids,3.15789509,1.00000000,0.27706629,0.27706629,2.15000010,10.7500000,0.94999993,0.20000000,,
19,"Reef associated fish",2.10526299,1.00000000,0.09857015,0.09857015,1.50000000,7.55000019,0.94999999,0.19867550,,
20,"Octopus sepia",2.51194692,1.00000000,0.07036539,0.07036539,3.00000000,12.5000000,0.94999993,0.23999999,,
21,"Crabs Lobsters",2.85505199,1.00000000,0.22990850,0.22990850,4.00000000,21.8999996,0.94999993,0.18264841,,
22,Shrimps,2.78096700,1.00000000,0.90224272,0.90224272,4.00000000,21.8999996,0.94999993,0.18264841,,
23,"Small crsustaceans",2.42105293,1.00000000,0.28485689,0.28485689,62.0000000,310.000000,0.94999993,0.20000000,,
24,Macrobenthos,2.42105293,1.00000000,4.96254110,4.96254110,6.80000019,27.3999996,0.94999993,0.24817520,,
25,Meiobenthos,2.05263209,1.00000000,5.05828524,5.05828524,10.00000000,50.0000000,0.94999999,0.20000000,,
26,Zooplankton,2.05263209,1.00000000,1.56723106,1.56723106,67.0000000,280.000000,0.94999993,0.23928569,,
27,"Macrobenthic flora",1.00000000,1.00000000,30.71570969,30.71570969,15.3500004,,0.029999999,,,
28,Phytoplankton,1.00000000,1.00000000,10.55486012,10.55486012,71.1999969,,0.50000000,,,
29,Detritus,1.00000000,1.00000000,120.000000,120.000000,,,0.40135029,,,
