,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Killer whales",4.72341490,1.00000000,0.0075240000,0.0075240000,,0.020000000,1.07526898,0.00000000,0.01860000,,
2,"Leopard Seal",3.40540290,1.00000000,0.0083520003,0.0083520003,,0.27000001,15.1685400,0.10762990,0.01780000,,
3,"Weddell Seal",4.15791082,1.00000000,0.081211999,0.081211999,,0.079999998,4.59770107,0.57904011,0.01740000,,
4,"Crabeater Seal",3.36098695,1.00000000,1.09777403,1.09777403,,0.10000000,5.95238113,0.02689960,0.01680000,,
5,"Antarctic fur seals",3.69204807,1.00000000,0.0010323180,0.0010323180,,0.17000000,9.65909100,0.72189140,0.01760000,,
6,"S Elephant Seals",4.22914886,1.00000000,0.0010352570,0.0010352570,,0.20999999,12.0689602,0.37213320,0.01740001,,
7,"Sperm Whales",4.11541796,1.00000000,0.028399389,0.028399389,,0.28999999,16.6666698,0.00000000,0.01740000,,
8,"Blue Whales",3.21044707,1.00000000,0.0071768998,0.0071768998,,0.039999999,2.53164601,0.28181821,0.01580000,,
9,"Fin Whales",3.20984912,1.00000000,0.042804301,0.042804301,,0.031500001,2.54999995,0.98063737,0.01235294,0.0012413251,0.02900001
10,"Minke Whales",3.18847489,1.00000000,0.047275200,0.047275200,,0.094999999,5.65476179,0.01801395,0.01680000,,
11,"Humpback whales",3.30419493,1.00000000,0.081189357,0.081189357,,0.039999999,2.38095188,0.99991202,0.01680000,0.0031663850,0.03900000
12,"Emperor Penguins",3.67005205,1.00000000,0.0001159490,0.0001159490,,0.19450000,13.8928604,0.00358740,0.01400000,,
13,"Gentoo Penguins",3.34164691,1.00000000,0.0011610690,0.0011610690,,0.22000000,15.2777004,0.94967669,0.01440007,,
14,"Chinstrap Penguins",3.15898108,1.00000000,0.021420000,0.021420000,,0.22000000,15.2777996,0.90433180,0.01439998,,
15,"Adelie Penguins",3.13511705,1.00000000,0.0058300002,0.0058300002,,0.12000000,36.6197205,0.11752080,0.00327692,,
16,"Macaroni Penguins",3.44947600,1.00000000,0.0001145050,0.0001145050,,0.11000000,7.63888884,0.79164898,0.01440000,,
17,"Flying Birds",3.82695293,1.00000000,0.0040000002,0.0040000002,,0.088000000,4.88888884,0.00000000,0.01800000,,
18,Cephalopods,3.23596692,1.00000000,2.49000001,2.49000001,,3.15000010,30.2884598,0.29211381,0.10400000,,
19,Myctophids,3.29538202,1.00000000,3.26999998,3.26999998,,1.10000002,10.5799999,0.75156838,0.10396980,,
20,"On-shelf fish",3.29709291,1.00000000,5.25000000,5.25000000,,0.46000001,4.42307711,0.92695957,0.10400000,,
21,"N. rossii",3.17525792,1.00000000,0.13800000,0.13800000,,0.28999999,2.78800011,0.03223387,0.10401720,,
22,"C gunnari",3.12773490,1.00000000,0.89999998,0.89999998,,0.47999999,4.61538506,0.80653739,0.10400000,,
23,"G gibberifrons",2.98185897,1.00000000,1.20000005,1.20000005,,0.46000001,4.42307711,0.18957940,0.10400000,,
24,Salps,2.13599992,1.00000000,320.000000,320.000000,,3.00000000,12.2449999,0.00118981,0.24499799,,
25,"Benthic invertbrates",2.00000000,1.00000000,85.5374985,85.5374985,,0.50000000,2.19000006,0.55384600,0.22831050,,
,krill,,,,,,,,,,,
26,"Krill Large",2.10299993,1.00000000,81.2600021,81.2599792,0.80000001,,3.56999207,0.89884502,0.22409010,,
27,"Krill Small",2.09999990,1.00000000,28.9306908,28.9306908,0.80000001,,6.51272488,0.43934309,0.12283640,,
28,"Other Euphausiids",2.20600009,1.00000000,148.000000,148.000000,,1.50000000,6.69640017,0.13575269,0.22400090,,
29,Micro-Zool,2.00000000,1.00000000,25.0000000,25.0000000,,55.0000000,275.000000,0.36576200,0.20000000,,
30,"Meso zooplankton",2.02999997,1.00000000,130.000000,130.000000,,4.80999994,19.6326504,0.80718517,0.24500000,,
31,Macro-zoopl,2.56009007,1.00000000,35.0000000,35.0000000,,2.50000000,8.92856979,0.37429631,0.28000009,,
32,"Small phytoplankton",1.00000000,1.00000000,171.91310120,171.91310120,,75.0000000,,0.50000000,,,
33,"Large phytoplankton",1.00000000,1.00000000,160.63040161,160.63040161,,75.0000000,,0.50000000,,,
34,"Ice Algae",1.00000000,1.00000000,3.06672001,3.06672001,,50.0000000,,0.50000000,,,
35,Detritus,1.00000000,1.00000000,5.76999998,5.76999998,,,,0.09774920,,,
