,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Primary produce",1.00000000,1.00000000,118.900002,118.900002,,24.7999992,,0.26004580,,,
2,Microzooplankton,2.05555606,1.00000000,2.62925005,2.62925005,,45.2799988,120.000000,0.65843219,0.37733331,,
3,Mesozooplankton,2.16013598,1.00000000,5.87074995,5.87074995,,39.0800018,80.0000000,0.53191262,0.48850000,,
4,Marozooplankton,3.16013598,1.00000000,1.10000002,1.10000002,,18.0000000,38.0000000,0.03356937,0.47368419,,
5,"deposit feeders",2.00000000,1.00000000,13.6420002,13.6420002,,3.00000000,20.00000000,0.79805660,0.15000001,,
6,"suspension feed",2.60637403,1.00000000,5.07000017,5.07000017,,0.30000001,2.00000000,0.26617679,0.15000001,,
7,"Shrimp and Praw",2.43455410,1.00000000,5.55232286,5.55232286,,3.96000004,13.19999981,0.89999968,0.30000001,,
8,Whelk,3.04960895,1.00000000,0.36478400,0.36478400,,0.64099997,8.02999973,0.89964342,0.07982565,,
9,Echinoderms,2.23025298,1.00000000,8.82577419,8.82577419,,0.66200000,6.93499994,0.90081859,0.09545782,,
10,Bivalves,2.00000000,1.00000000,17.4099998,17.4099998,,0.88870400,9.87448883,0.85513932,0.090000004,,
11,Scallops,2.00000000,1.00000000,0.52194601,0.52194601,,0.80000001,8.88888836,0.75019288,0.090000004,,
12,Crab,2.30380011,1.00000000,5.15721083,5.15721083,,1.94700003,12.97999954,0.90496129,0.15000001,,
13,"Commercial crab",2.43777490,1.00000000,0.51081800,0.51081800,,0.60000002,4.00000000,0.71793813,0.15000001,,
14,Lobster,3.10726404,1.00000000,0.010228000,0.010228000,,0.51499999,5.84999990,0.89977252,0.08803419,,
15,"Small demersals",3.09915590,1.00000000,1.82458901,1.82458901,,1.57299995,9.66042995,0.90500009,0.16282921,,
16,"Small gadoids",3.38504410,1.00000000,1.41732597,1.41732597,,1.27199996,5.92799997,0.87880337,0.21457490,,
17,Mullet,3.29704499,1.00000000,0.16935959,0.16935959,,0.51999998,5.70059299,0.89999992,0.09121858,,
,Sole,,,,,,,,,,,
18,"Sole Juv",3.01127791,1.00000000,0.014921390,0.014921390,0.75000000,,10.0759401,0.50095832,0.07443474,,
19,"Sole Ad",3.01128793,1.00000000,0.044232000,0.044231981,0.43000001,,5.17515087,0.59378427,0.08308936,,
,Plaice,,,,,,,,,,,
20,"Plaice Juv",3.00332689,1.00000000,0.025407121,0.025407121,1.50999999,,11.8153896,0.44897109,0.12779941,,
21,"Plaice Ad",3.00332689,1.00000000,0.033916000,0.033915970,0.75470001,,4.18418503,0.67376971,0.18036970,,
22,Dab,3.19055104,1.00000000,0.033362001,0.033362001,,0.75300002,6.00069284,0.79431361,0.12548549,,
23,"Lemon Sole",3.14431405,1.00000000,0.060107999,0.060107999,,0.59899998,5.31542587,0.89956671,0.11269090,,
24,"Large Flatfish",3.85042095,1.00000000,0.060233999,0.060233999,,0.54540002,4.96194315,0.71562362,0.10991660,,
25,Gurnards,3.39592290,1.00000000,0.28565300,0.28565300,,0.57400000,5.75777006,0.82994258,0.09969138,,
,Whiting,,,,,,,,,,,
26,"Whiting Juv",3.29418612,1.00000000,0.034481749,0.034481749,1.60000002,,14.8943195,0.86625618,0.10742350,,
27,"Whiting Ad",4.07365084,1.00000000,0.12162900,0.12162900,0.78796703,,5.63099003,0.39298800,0.13993400,,
,Cod,,,,,,,,,,,
28,"Cod Juv",3.51691508,1.00000000,0.012438340,0.012438340,1.88000000,,8.60352230,0.66295832,0.21851520,,
29,"Cod Ad",3.96489191,1.00000000,0.016435999,0.016435990,0.99000001,,3.46017194,0.56994891,0.28611290,,
30,Hake,4.42226791,1.00000000,0.025583999,0.025583999,,0.52800000,3.87213492,0.90041387,0.13635890,,
31,Dogfish,3.41858602,1.00000000,0.40070999,0.40070999,,0.37992299,4.77448797,0.25680530,0.07957356,,
32,Rays,3.45003700,1.00000000,0.09571794,0.09571794,,0.60000002,4.22757721,0.80000001,0.14192531,,
33,Pollack,3.81750107,1.00000000,0.30087200,0.30087200,,0.82750398,4.05257177,0.65784073,0.20419230,,
34,Monkfishes,4.17997980,1.00000000,0.15149200,0.15149200,,0.41100001,2.83091092,0.68546683,0.14518300,,
35,"Large bottom",4.00970507,1.00000000,0.11087600,0.11087600,,0.45800000,3.06220603,0.89937931,0.14956540,,
36,Seabreams,3.00502396,1.00000000,0.11809300,0.11809300,,0.61299998,4.60912991,0.89940661,0.13299690,,
37,"John Dory",4.22426510,1.00000000,0.015000000,0.015000000,,0.65225899,4.99381685,0.63880563,0.13061330,,
38,Sandeels,3.12892890,1.00000000,2.93682289,2.93682289,,1.28999996,10.1422901,0.89999992,0.12719020,,
39,Herring,3.09738803,1.00000000,0.068300001,0.068300001,,0.99747598,6.35381079,0.88762218,0.15698861,,
40,Sprat,3.13167405,1.00000000,0.52487540,0.52487540,,1.21000004,9.68090630,0.89999998,0.12498830,,
41,Pilchard,3.11830401,1.00000000,0.68800002,0.68800002,,0.63932002,7.92172384,0.80217022,0.08070466,,
42,Mackerel,3.43989491,1.00000000,1.36320400,1.36320400,,0.36199999,6.00000000,0.89979923,0.06033333,,
43,Scad,3.58317399,1.00000000,0.70358598,0.70358598,,0.39399999,5.56341314,0.90026689,0.07081983,,
44,Bass,3.46546102,1.00000000,0.064597003,0.064597003,,0.42179200,3.91411495,0.44200170,0.10776180,,
45,Sharks,4.43762589,1.00000000,0.0020000001,0.0020000001,,0.23638500,2.52562404,0.37358189,0.09359469,,
46,"Basking shark",3.16013598,1.00000000,0.034000002,0.034000002,,0.070000000,3.70000005,0.00000000,0.01891892,,
47,Cephalopods,3.53631401,1.00000000,0.46639499,0.46639499,,2.19300008,15.0000000,0.89984113,0.14620000,,
48,Seabirds,3.55264306,1.00000000,0.0012000001,0.0012000001,,0.40000001,72.1200027,0.01161644,0.00554631,,
49,"Toothed cetaceans",4.41671324,1.00000000,0.0038399999,0.0038399999,,0.40000001,13.7270002,0.17740341,0.02913965,,
50,Seals,4.65915298,1.00000000,0.0020000001,0.0020000001,,0.039999999,13.3198900,0.17693220,0.00300303,,
51,"Discarded catch",1.00000000,1.00000000,0.30167499,0.30167499,,,,0.06646635,,,
52,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,,0.18706690,,,
