,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Swordfish,4.77841091,1.00000000,0.0020000001,0.0020000001,0.40000001,5.19999981,0.25624999,0.07692308,,
2,"Other billfish",4.90646219,1.00000000,0.0049999999,0.0049999999,0.40000001,5.30000019,0.31549999,0.07547170,,
3,"Blue shark",4.52035379,1.00000000,0.014000000,0.014000000,0.30000001,2.50000000,0.42988089,0.12000000,,
4,"other sharks",4.70004892,1.00000000,0.0099999998,0.0099999998,0.34999999,4.80000019,0.47471431,0.07291666,,
5,"bigeye tuna",4.73966312,1.00000000,0.017000001,0.017000001,0.68599999,14.5000000,0.15933800,0.04731034,,
6,"yellowfin tuna",4.51891994,1.00000000,0.045000002,0.045000002,1.22099996,15.1000004,0.21885701,0.08086092,,
7,"skipjack tuna",4.28431988,1.00000000,0.10400000,0.10400000,2.36199999,17.0000000,0.44103059,0.13894120,,
8,"piscivorous fish",4.25706196,1.00000000,0.19163740,0.19163740,1.00000000,9.00000000,0.94999999,0.11111110,,
9,"small billfish",4.43431091,1.00000000,0.011000000,0.011000000,0.89999998,9.30000019,0.12377780,0.09677419,,
10,"small sharks",4.48251677,1.00000000,0.012000000,0.012000000,0.50000000,5.19999981,0.42430609,0.09615385,,
11,"small scombrids",4.13104916,1.00000000,0.21400000,0.21400000,2.00000000,17.6000004,0.94812202,0.11363640,,
12,"epipelagic fish",3.11110497,1.00000000,2.03181291,2.03181291,2.00000000,13.8999996,0.94999999,0.14388490,,
13,"mesopelagic fish",3.61318588,1.00000000,1.72200000,1.72200000,1.79999995,13.8999996,0.94885802,0.12949640,,
14,cephalopods,3.87248111,1.00000000,0.39500001,0.39500001,3.09999990,22.3999996,0.94710892,0.13839290,,
15,crustacea,2.81716490,1.00000000,1.00000000,1.00000000,5.19999981,20.7999992,0.94075012,0.25000000,,
16,mesozooplankton,2.61176491,1.00000000,4.00000000,4.00000000,33.0000000,110.00000000,0.93574929,0.30000001,,
17,microzooplankton,2.00000000,1.00000000,1.72399998,1.72399998,100.0000000,300.000000,0.94431549,0.33333331,,
18,"large phytoplankton",1.00000000,1.00000000,1.98899996,1.98899996,134.000000,,0.30164939,,,
19,"small phytoplankton",1.00000000,1.00000000,11.2709999,11.2709999,94.5999985,,0.48507059,,,
20,Detritus,1.00000000,1.00000000,130.000000,130.000000,,,0.15580919,,,
