,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (g/m^2)","Biomass (g/m^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (g/m^2)","BA rate (/year)"
1,Sharks,4.93545198,1.00000000,0.03154574,0.03154574,0.31700000,9.69999981,0.50000000,0.03268041,,
2,"Red grouper",4.64156199,1.00000000,0.18099999,0.18099999,0.50099999,4.59999990,0.98299319,0.10891300,,
3,Snappers,4.56072903,1.00000000,0.29464090,0.29464090,0.44200000,4.30000019,0.94999999,0.10279070,,
4,"King mackerel",4.26966810,1.00000000,0.09715594,0.09715594,0.65200001,8.89999962,0.94999999,0.07325843,,
5,Jacks,4.11400604,1.00000000,0.17840630,0.17840630,0.39300001,10.00000000,0.94999999,0.03930000,,
6,Octopus,4.09512520,1.00000000,2.34702206,2.34702206,1.10000002,3.50000000,0.94999999,0.31428570,,
7,Mojarra,3.49884892,1.00000000,0.81868333,0.81868333,1.08800006,15.3000002,0.94999999,0.07111111,,
8,Grunts,3.48263311,1.00000000,1.31924498,1.31924498,0.40000001,8.10000038,0.94999999,0.04938271,,
9,Porgies,3.41983294,1.00000000,0.035000000,0.035000000,0.65300000,5.19999981,0.35003281,0.12557690,,
10,Seatrout,3.39800096,1.00000000,0.01081833,0.01081833,0.80299997,6.80000019,0.94999999,0.11808820,,
11,Crabs,3.29801202,1.00000000,2.57688808,2.57688808,2.79999995,8.50000000,0.94999999,0.32941169,,
12,Lobsters,3.21057391,1.00000000,1.60883296,1.60883296,0.89499998,8.19999981,0.94999999,0.10914630,,
13,Herrings,3.16578698,1.00000000,1.05516100,1.05516100,1.10500002,11.6999998,0.94999993,0.09444445,,
14,Shrimps,3.02533507,1.00000000,2.48764801,2.48764801,5.37900019,19.2000008,0.94999999,0.28015631,,
15,"Other mollusks",2.41731906,1.00000000,4.29674101,4.29674101,2.50000000,8.19999981,0.94999999,0.30487809,,
16,Microcrustacean,2.22904992,1.00000000,9.98817539,9.98817539,7.01399994,27.1429996,0.95000011,0.25840920,,
17,Annelids,2.11731791,1.00000000,21.57118988,21.57118988,4.59999990,15.8999996,0.94999993,0.28930819,,
18,Zooplankton,2.00000000,1.00000000,1.70416903,1.70416903,17.7000008,157.753998,0.94999999,0.11220000,,
19,Phytoplankton,1.00000000,1.00000000,7.95319605,7.95319605,45.5000000,,0.94999993,,,
20,"Benthic prod.",1.00000000,1.00000000,6.59695292,6.59695292,14.0000000,,0.95000011,,,
21,Detritus,1.00000000,1.00000000,9.00000000,9.00000000,,,0.99532259,,,
